Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71934026,1,"Saturday, February  2, 2013 21:00:19 UTC",38.8175,-122.8138,1.1,3.30,25,"Northern California"
nc,71934021,0,"Saturday, February  2, 2013 20:49:31 UTC",38.8738,-122.8082,1.0,1.20,15,"Northern California"
ci,15280681,0,"Saturday, February  2, 2013 20:46:03 UTC",32.9233,-116.2942,1.1,9.10,20,"Southern California"
ak,10649507,1,"Saturday, February  2, 2013 20:45:40 UTC",64.5180,-146.2734,1.4,8.20, 8,"Central Alaska"
ci,15280673,0,"Saturday, February  2, 2013 20:41:12 UTC",35.8352,-117.6842,1.4,1.70,39,"Central California"
ak,10649501,1,"Saturday, February  2, 2013 20:08:20 UTC",60.9225,-146.9076,1.6,20.70,12,"Southern Alaska"
ci,15280665,0,"Saturday, February  2, 2013 19:59:51 UTC",33.7518,-117.5328,1.4,22.50,17,"Greater Los Angeles area, California"
ci,15280657,0,"Saturday, February  2, 2013 19:57:21 UTC",35.8372,-117.6843,1.3,1.70,29,"Central California"
nc,71933996,0,"Saturday, February  2, 2013 19:27:28 UTC",38.8192,-122.8022,1.0,4.10,18,"Northern California"
us,c000f06g,3,"Saturday, February  2, 2013 19:24:34 UTC",-11.2194,165.2014,5.1,29.50,77,"Santa Cruz Islands"
ci,15280649,0,"Saturday, February  2, 2013 19:15:05 UTC",33.4192,-116.3332,1.4,13.50,20,"Southern California"
ci,15280641,0,"Saturday, February  2, 2013 19:11:16 UTC",36.3333,-118.0087,1.6,0.00,15,"Central California"
us,c000f05y,6,"Saturday, February  2, 2013 18:58:07 UTC",-10.9125,165.2604,6.1,10.00,107,"Santa Cruz Islands"
us,c000f05u,7,"Saturday, February  2, 2013 18:54:32 UTC",-11.0276,165.3362,5.1,36.60,50,"Santa Cruz Islands"
nc,71933986,0,"Saturday, February  2, 2013 18:50:13 UTC",38.7747,-122.7395,1.0,1.50,19,"Northern California"
ci,15280625,0,"Saturday, February  2, 2013 18:34:23 UTC",34.2613,-116.4348,1.6,0.40,37,"Southern California"
us,c000f056,A,"Saturday, February  2, 2013 18:31:38 UTC",29.4141,141.9384,5.5,50.80,190,"Izu Islands, Japan region"
ak,10649472,1,"Saturday, February  2, 2013 18:22:19 UTC",60.2249,-150.0107,1.7,32.50, 4,"Kenai Peninsula, Alaska"
ci,15280617,0,"Saturday, February  2, 2013 18:18:51 UTC",33.0465,-116.4438,2.0,7.10,90,"Southern California"
pr,13033003,0,"Saturday, February  2, 2013 18:16:51 UTC",19.8878,-67.5970,3.1,56.00,10,"Puerto Rico region"
ak,10649463,1,"Saturday, February  2, 2013 17:56:08 UTC",63.5505,-150.6741,2.2,4.60, 8,"Central Alaska"
ci,15280601,0,"Saturday, February  2, 2013 17:41:03 UTC",33.9412,-116.0932,1.7,31.40,24,"Southern California"
ci,15280593,0,"Saturday, February  2, 2013 17:36:05 UTC",33.3253,-116.3025,1.3,12.20,65,"Southern California"
nn,00401617,9,"Saturday, February  2, 2013 17:25:43 UTC",38.4146,-117.8554,1.5,3.60,15,"Nevada"
ci,15280585,0,"Saturday, February  2, 2013 17:20:39 UTC",33.2773,-116.7812,1.2,12.50,65,"Southern California"
nc,71933971,1,"Saturday, February  2, 2013 17:07:53 UTC",37.7570,-122.5627,2.0,12.00,37,"offshore Northern California"
nc,71933966,1,"Saturday, February  2, 2013 17:07:23 UTC",37.7567,-122.5652,1.8,12.50,29,"offshore Northern California"
ci,15280561,0,"Saturday, February  2, 2013 16:48:03 UTC",33.4755,-116.7632,1.0,6.00,42,"Southern California"
ak,10649444,1,"Saturday, February  2, 2013 16:34:14 UTC",61.3786,-147.1915,1.8,20.60, 7,"Southern Alaska"
ci,15280545,1,"Saturday, February  2, 2013 16:11:06 UTC",33.7000,-116.8110,1.3,18.30,61,"Southern California"
ci,15280529,0,"Saturday, February  2, 2013 15:01:42 UTC",36.0240,-117.7802,1.4,2.40,13,"Central California"
us,c000f03a,7,"Saturday, February  2, 2013 14:17:34 UTC",42.8116,143.0784,6.9,103.10,583,"Hokkaido, Japan region"
us,c000f02n,9,"Saturday, February  2, 2013 13:35:35 UTC",46.5089,14.6419,4.5,10.00,70,"Austria"
pr,13033002,0,"Saturday, February  2, 2013 13:29:13 UTC",18.5221,-63.9562,2.6,26.00, 6,"Virgin Islands region"
ak,10649412,1,"Saturday, February  2, 2013 13:19:53 UTC",63.3026,-151.2730,1.2,3.70, 7,"Central Alaska"
ci,15280513,0,"Saturday, February  2, 2013 13:18:23 UTC",35.8118,-118.5027,2.1,3.10,51,"Central California"
nc,71933926,0,"Saturday, February  2, 2013 13:16:26 UTC",38.8395,-122.7733,1.0,2.00, 8,"Northern California"
ak,10649409,1,"Saturday, February  2, 2013 13:15:58 UTC",60.0949,-153.0860,2.6,113.70, 9,"Southern Alaska"
ak,10649400,1,"Saturday, February  2, 2013 13:03:50 UTC",63.6074,-149.1294,2.4,0.10,33,"Central Alaska"
ak,10649397,1,"Saturday, February  2, 2013 12:52:25 UTC",62.0784,-145.1661,1.7,22.50, 7,"Central Alaska"
ci,15280505,0,"Saturday, February  2, 2013 12:50:49 UTC",33.6887,-116.7928,1.2,19.50,59,"Southern California"
